meter_number,poc_number,total_blank_periods,avg_monthly_units_over_blank_periods,std_monthly_units_over_blank_periods,last_blank_period_start,last_blank_period_end,last_blank_period_length,months_since_last_blank_period,total_units_before_last_blank_period,monthly_units_over_last_blank_period,longest_blank_period_start,longest_blank_period_end,longest_blank_period_length,months_since_longest_blank_period,total_units_before_longest_blank_period,monthly_units_over_longest_blank_period
4224165094,498509,24,2.0130555555555554,0.8110155480234658,2021-08-31,2022-02-28,6,0,4.8,0.8,2019-07-31,2020-03-31,8,23,9.6,1.2
4224166035,497800,26,0.9698717948717948,0.3823012648000508,2021-07-31,2021-11-30,4,0,2.0,0.5,2014-04-30,2014-10-31,6,85,12.6,2.1
4224193484,498056,9,1.0224926271690078,0.13539674987653216,2021-12-31,2022-02-28,2,0,2.27,1.14,2021-07-31,2021-10-31,3,4,2.0,0.67
4224193724,498000,6,2.7872222222222223,1.6798373120816577,2019-06-30,2019-08-31,2,30,9.6,4.8,2013-03-31,2015-09-30,30,77,3.2,0.11
4224234155,498165,4,0.2706818181818182,0.1194886228547954,2017-08-31,2018-07-31,11,31,1.9,0.17,2014-02-28,2016-08-31,30,54,6.3,0.21
4224236382,497788,35,1.9388095238095238,0.743508795373791,2021-10-31,2022-01-31,3,0,4.3,1.43,2020-05-31,2020-09-30,4,16,4.3,1.08
4224236507,497790,7,4.594444444444444,4.671829155087008,2020-03-31,2020-05-31,2,22,4.3,2.15,2013-11-30,2014-02-28,3,97,44.3,14.77
4228950905,498585,23,1.7531159420289855,0.8083881356513056,2021-08-31,2022-01-31,5,0,2.0,0.4,2015-03-31,2016-01-31,10,72,21.8,2.18
4229344041,498551,18,2.8396604938271603,1.6023625341707153,2021-06-30,2022-01-31,7,0,9.6,1.37,2015-01-31,2015-10-31,9,75,31.4,3.49
4229354453,498586,13,1.0056471306471304,0.7769909889096944,2021-10-31,2022-01-31,3,0,2.0,0.67,2019-11-30,2020-08-31,9,17,2.9,0.32
4229357613,498554,21,1.6149206349206349,0.9920614095216236,2021-10-31,2022-01-31,3,0,2.9,0.97,2020-03-31,2020-08-31,5,17,3.8,0.76
4229362829,498536,14,0.9711734693877551,0.926720064672175,2021-04-30,2021-10-31,6,0,2.0,0.33,2017-11-30,2018-06-30,7,40,1.9,0.27
4229365061,498587,19,3.384176559009384,0.7993366321254568,2021-12-31,2022-02-28,2,0,5.7,2.85,2015-03-31,2015-07-31,4,79,9.2,2.3
4229372646,498519,21,1.9153989912443843,0.5123060746228232,2022-01-31,2022-03-31,2,0,4.75,2.37,2014-08-31,2015-02-28,6,85,12.6,2.1
4229382645,498540,12,7.781818181818181,4.145494417671088,2020-09-30,2020-11-30,2,16,20.8,10.4,2014-10-31,2015-02-28,4,85,6.4,1.6
4229389095,498541,5,8.8125,4.228086890072152,2018-11-30,2019-01-31,2,38,17.1,8.55,2014-12-31,2015-02-28,2,85,10.9,5.45
4229479912,498533,12,2.4613367445432384,1.3703566455937581,2022-01-31,2022-03-31,2,0,4.27,2.14,2019-08-31,2019-11-30,3,28,4.8,1.6
4229493103,498111,6,9.26,9.490595344866412,2020-02-29,2020-04-30,2,23,9.4,4.7,2014-09-30,2015-01-31,4,86,1.2,0.3
4232058448,498465,3,3.415710382513661,1.9696714584151778,2021-07-31,2022-01-31,6,0,6.3,1.05,2016-06-30,2021-07-31,61,6,358.2,5.87
4232059834,498394,7,4.249722082765497,3.304876276521273,2022-01-31,2022-03-31,2,0,5.7,2.85,2014-01-31,2014-03-31,2,96,13.9,6.95
4232087819,511160,14,3.2154761904761906,2.440705273801016,2021-10-31,2022-01-31,3,0,3.8,1.27,2014-06-30,2015-07-31,13,78,94.9,7.3
4232088130,498535,14,1.5722222222222224,1.1478782666255083,2020-09-30,2020-12-31,3,4,1.5,0.5,2015-03-31,2015-12-31,9,64,31.6,3.51
4232122194,498431,12,1.8067933099264126,1.4974571918626076,2021-12-31,2022-02-28,2,0,6.55,3.28,2019-11-30,2020-06-30,7,20,4.0,0.57
4232122426,498438,10,5.653703703703704,2.769830606954304,2020-01-31,2020-03-31,2,24,14.4,7.2,2015-08-31,2015-11-30,3,76,28.5,9.5
4232122863,498455,25,2.142974184847132,0.5548028298725974,2022-01-31,2022-03-31,2,0,5.7,2.85,2014-10-31,2015-07-31,9,80,32.7,3.63
4232124414,498420,16,20.19685990338164,43.4306341590072,2021-09-30,2021-11-30,2,4,354.4,177.2,2019-08-31,2021-07-31,23,8,22.3,0.97
4232149601,498432,17,1.8712254901960783,1.394834545135909,2021-03-31,2021-11-30,8,1,2.9,0.36,2016-10-31,2017-08-31,10,52,9.2,0.92
4232150328,498422,12,2.144082821300563,1.730705530428771,2021-09-30,2022-02-28,5,0,9.6,1.92,2018-05-31,2020-12-31,31,14,4.7,0.15
4232153637,498415,20,1.3582456140350878,0.8651982285935779,2020-12-31,2021-03-31,3,12,11.8,3.93,2014-04-30,2014-12-31,8,87,6.2,0.78
4232158461,498433,21,3.529550931814507,2.382841367574327,2022-01-31,2022-03-31,2,0,14.71,7.36,2016-04-30,2016-11-30,7,64,6.9,0.99
4232171845,498404,2,1.6,0.0,2018-01-31,2018-03-31,2,48,3.2,1.6,2018-01-31,2018-03-31,2,48,3.2,1.6
4232173122,497828,12,6.500990675990676,4.2596029478810165,2020-06-30,2020-10-31,4,17,4.3,1.08,2019-05-31,2020-06-30,13,21,4.8,0.37
4232190043,498456,20,0.8317777777777777,0.29551047066323205,2020-09-30,2020-12-31,3,13,2.0,0.67,2014-06-30,2015-12-31,18,73,4.6,0.26
4232204232,498095,12,2.7581652893466853,1.1602940318748263,2021-12-31,2022-02-28,2,0,10.45,5.22,2020-09-30,2021-05-31,8,9,16.7,2.09
4232224339,498454,16,7.860777777777778,3.9793532354943686,2021-08-31,2021-10-31,2,5,32.8,16.4,2014-12-31,2016-03-31,15,72,6.3,0.42
4232224453,497841,10,4.377706069019812,2.0571697903412547,2021-12-31,2022-02-28,2,1,5.7,2.85,2014-03-31,2014-05-31,2,94,18.9,9.45
7060529653,498015,31,65.0601305683564,22.082791675226506,2019-06-30,2020-03-31,9,0,62.1,6.9,2019-06-30,2020-03-31,9,0,62.1,6.9
7060616005,498079,14,6.0094679829973945,7.140372669985133,2017-11-30,2020-09-30,34,18,23.4,0.69,2017-11-30,2020-09-30,34,18,23.4,0.69
7060639346,498043,5,26.275,18.51419725507968,2014-08-31,2014-12-31,4,0,72.7,18.18,2013-12-31,2014-05-31,5,7,19.0,3.8
7060763559,498054,1,9.45,0.0,2010-06-30,2010-08-31,2,1,18.9,9.45,2010-06-30,2010-08-31,2,1,18.9,9.45
7060823155,497995,31,2.747756265150388,1.3561690089055805,2021-12-31,2022-02-28,2,1,5.7,2.85,2015-09-30,2016-03-31,6,72,2.3,0.38
7061256348,498035,4,19.05,20.818141127391755,2020-03-31,2020-05-31,2,22,6.0,3.0,2011-05-31,2011-07-31,2,128,11.4,5.7
7065469129,498033,22,13.709437418449617,16.90260844481739,2021-11-30,2022-01-31,2,1,1.86,0.93,2011-07-31,2012-05-31,10,117,601.4,60.14
7067105564,498040,18,1.4417063492063493,0.5138809354658168,2021-08-31,2022-01-31,5,0,4.8,0.96,2021-01-31,2021-08-31,7,5,4.8,0.69
7067184098,498067,6,5.719444444444444,4.563344459310626,2021-04-30,2021-07-31,3,0,2.0,0.67,2021-04-30,2021-07-31,3,0,2.0,0.67
7067206800,400188,23,4.836073346746664,4.7225390202132855,2021-12-31,2022-03-31,3,0,2.98,0.99,2011-01-31,2011-07-31,6,128,3.8,0.63
7067207808,498010,16,9.277222222222223,5.845006151714491,2021-11-30,2022-01-31,2,2,14.8,7.4,2010-11-30,2011-07-31,8,128,3.8,0.48
